Customer ID,Recency,Frequency,Monetary,Cluster,Segment,predicted_purchases_12m,CLV_12m
12346,326,12,77556.46,1,Loyal Customers,2.471506375077379,25962.373049360594
12347,2,8,5633.32,1,Loyal Customers,5.841563122789862,3981.2521618930045
12348,75,5,2019.4,1,Loyal Customers,3.2443328293838185,1413.9540740444015
12349,19,4,4428.6900000000005,1,Loyal Customers,1.9771774830360846,2179.239818735795
12350,310,1,334.40000000000003,0,Lost / Inactive,0.0,0.0
12351,375,1,300.93,0,Lost / Inactive,0.0,0.0
12352,36,10,2849.84,1,Loyal Customers,6.742407896055575,2161.1095578165514
12353,204,2,406.76,0,Lost / Inactive,1.0451266727691355,108.75702582495192
12354,232,1,1079.4,1,Loyal Customers,0.0,0.0
12355,214,2,947.61,1,Loyal Customers,0.8151408625256938,423.77590448271616
12356,23,6,6373.68,1,Loyal Customers,4.113377262815375,4313.958690025768
12357,33,3,18287.66,1,Loyal Customers,1.201341183654329,8378.24691817371
12358,2,5,3887.07,1,Loyal Customers,2.0875684601347197,1243.0671821904816
12359,58,10,8935.94,1,Loyal Customers,4.327315625779541,3711.4117016379555
12360,52,8,4252.89,1,Loyal Customers,3.7980493165396503,2131.4235575644857
12361,287,4,511.25,0,Lost / Inactive,1.5972983590197862,212.33962252935652
12362,3,11,5356.2300000000005,1,Loyal Customers,4.781275773784671,2355.265633974717
12363,110,2,552.0,1,Loyal Customers,1.651221364125675,475.77720454393324
12364,8,4,1313.1,1,Loyal Customers,7.1920298150577135,1633.5677444316234
12365,291,2,641.38,0,Lost / Inactive,0.0,0.0
12366,634,1,500.24,0,Lost / Inactive,0.3333374575360681,0.0
12367,4,1,168.9,1,Loyal Customers,0.0,0.0
12368,628,1,917.7,0,Lost / Inactive,0.33570174206846615,0.0
12369,413,3,1791.15,0,Lost / Inactive,1.0391868064187533,762.5071408193465
12370,51,7,4320.31,1,Loyal Customers,2.747499491344044,1982.1053624116225
12371,45,5,4067.38,1,Loyal Customers,1.8174483669187838,2062.407566413977
12372,72,3,1298.04,1,Loyal Customers,2.5020000773306084,1145.6881181998535
12373,311,3,1127.65,0,Lost / Inactive,1.1532425511832014,405.6458145316405
12374,25,4,2989.2200000000003,1,Loyal Customers,1.4191589600183752,1154.9738585053399
12375,11,2,457.5,1,Loyal Customers,3.291346278222002,853.6107677410804
12376,390,2,503.15,0,Lost / Inactive,0.5523314851486867,46.06521521054442
12377,315,4,3426.32,1,Loyal Customers,1.678783106760285,1220.625954793259
12378,130,2,5416.32,1,Loyal Customers,0.851320194377862,3834.7186012018174
12379,82,4,1620.22,1,Loyal Customers,2.1346146076452173,878.79825411297
12380,22,11,9676.3,1,Loyal Customers,3.7757119188468606,3411.1866141682235
12381,5,5,1845.31,1,Loyal Customers,8.884913147714268,1248.1148907500872
12383,185,5,1850.56,1,Loyal Customers,3.3424414999171748,1014.0017846374947
12384,29,2,585.27,1,Loyal Customers,2.8491872368208333,948.1286068798112
12385,379,1,1938.4,0,Lost / Inactive,0.0,0.0
12386,338,2,660.8000000000001,0,Lost / Inactive,0.6864941621518539,113.06364753633258
12387,415,1,143.94,0,Lost / Inactive,0.0,0.0
12388,16,8,3901.11,1,Loyal Customers,4.240661653456343,1979.9928047025776
12389,403,3,1433.33,0,Lost / Inactive,1.057160194734546,682.1955689894107
12390,80,1,549.84,1,Loyal Customers,0.0,0.0
12391,22,6,2773.42,1,Loyal Customers,2.2800736152258705,1139.134296014602
12392,591,1,234.75000000000003,0,Lost / Inactive,0.3543019435891875,0.0
12393,72,6,2399.45,1,Loyal Customers,4.03325714679205,1624.3156731495865
12394,64,2,1272.48,1,Loyal Customers,1.8644440164542952,1874.1343427710704
12395,19,15,5067.27,1,Loyal Customers,7.366273847891093,2097.2030597917546
12396,674,1,931.43,0,Lost / Inactive,0.3151417380024978,0.0
12397,36,2,2409.9,1,Loyal Customers,2.640688401800311,3555.57440056951
12398,46,1,1635.66,1,Loyal Customers,0.0,0.0
12399,119,7,1962.3,1,Loyal Customers,3.2999699330381795,922.7811619138894
12400,414,1,205.25,0,Lost / Inactive,0.0,0.0
12401,303,1,84.3,0,Lost / Inactive,0.0,0.0
12402,323,6,1256.9,0,Lost / Inactive,2.1847909856699204,447.94162332553026
12403,50,2,1019.36,1,Loyal Customers,0.9302015072246396,450.50187753241346
12404,682,1,63.24,0,Lost / Inactive,0.31182126620486444,0.0
12405,149,1,1710.39,1,Loyal Customers,0.0,0.0
12406,22,5,6390.36,1,Loyal Customers,2.176105010805438,2902.7954629078204
12407,50,5,1708.12,1,Loyal Customers,4.93813936534061,1775.487892333526
12408,33,8,4340.77,1,Loyal Customers,4.2147947012586195,2779.493273080938
12409,79,7,23419.29,1,Loyal Customers,3.7407723722884834,9878.591004102718
12410,309,3,1013.71,0,Lost / Inactive,0.8146530783180247,637.4935647820627
12411,410,1,346.9,0,Lost / Inactive,0.0,0.0
12412,75,6,2596.93,1,Loyal Customers,3.309535243504143,1225.095247513347
12413,67,4,999.45,1,Loyal Customers,2.7292396220746937,681.3062542727259
12414,217,6,952.41,1,Loyal Customers,2.2136777420792875,410.6324351396789
12415,24,28,144458.37,1,Loyal Customers,13.76173868756292,82941.21935646527
12416,657,1,202.56,0,Lost / Inactive,0.3228786234174382,0.0
12417,3,20,6816.91,1,Loyal Customers,8.90013968569739,2848.7921459019626
12418,113,4,2021.2,1,Loyal Customers,1.8356810148360498,1011.0313811930095
12419,386,2,503.01,0,Lost / Inactive,0.5611363651135297,115.78775921833756
12420,64,1,600.39,1,Loyal Customers,0.0,0.0
12421,16,6,1098.6,1,Loyal Customers,3.538418652170751,695.387656589757
12422,96,17,5231.8,1,Loyal Customers,6.157476952583538,2292.7894177372805
12423,1,10,2622.39,1,Loyal Customers,6.5414727723070145,1596.5983559780784
12424,163,4,3340.03,1,Loyal Customers,1.4630578341000868,2150.222089536612
12425,78,2,1741.41,1,Loyal Customers,1.0489970845581456,919.6848190134075
12426,195,2,1345.21,1,Loyal Customers,0.7249246924510848,477.222045006553
12427,22,3,1129.3,1,Loyal Customers,2.1147917448696343,564.3360770899465
12428,26,9,7956.46,1,Loyal Customers,6.778540733849941,3221.9307599632234
12429,9,8,7485.91,1,Loyal Customers,3.30538600449029,3856.4662376990873
12430,43,1,256.4,1,Loyal Customers,0.0,0.0
12431,36,27,10857.97,1,Loyal Customers,11.232162620530834,4436.02242648414
12432,43,5,5059.32,1,Loyal Customers,3.8012198811344144,3368.675257577811
12433,1,10,20581.26,1,Loyal Customers,5.740599095044739,13873.479901385976
12434,85,3,1103.43,1,Loyal Customers,2.0331279023480495,835.3143503750978
12435,80,6,13925.93,1,Loyal Customers,2.505288764288493,6209.353315590428
12436,100,1,509.01,1,Loyal Customers,0.0,0.0
12437,2,39,12683.4,1,Loyal Customers,15.186136248441516,5183.866829615079
12438,14,2,2906.85,1,Loyal Customers,2.6244198354615396,5955.732014231946
12439,683,2,1158.18,0,Lost / Inactive,0.23910156830677687,21.526847790411956
12440,462,2,859.2,0,Lost / Inactive,0.5679130018834644,187.66905833047826
12441,367,1,347.1,0,Lost / Inactive,0.0,0.0
12442,3,1,172.06,1,Loyal Customers,0.0,0.0
12443,732,1,485.31,0,Lost / Inactive,0.29255998785290094,0.0
12444,21,5,5005.46,1,Loyal Customers,6.908536549315563,5249.384663629382
12445,22,2,434.98,1,Loyal Customers,1.1273913348514244,173.51773389106557
12446,58,1,1002.31,1,Loyal Customers,0.0,0.0
12447,243,1,476.49,0,Lost / Inactive,0.0,0.0
12448,44,1,449.45,1,Loyal Customers,0.0,0.0
12449,22,6,4835.89,1,Loyal Customers,4.000302406975836,3193.141585255631
12450,156,5,688.2,1,Loyal Customers,2.924894114695086,384.6666669024552
12451,11,8,12669.88,1,Loyal Customers,4.008504360962867,6701.777467315058
12452,17,2,430.5700000000001,1,Loyal Customers,0.0,0.0
12453,134,1,707.09,1,Loyal Customers,0.0,0.0
12454,56,5,16679.78,1,Loyal Customers,3.3719408373367186,9751.371766806482
12455,73,10,5879.95,1,Loyal Customers,4.3859973382051844,1953.4261197979417
12456,44,3,3181.04,1,Loyal Customers,2.8514599209758273,3247.5025417624233
12457,66,8,2995.91,1,Loyal Customers,5.407864798132755,1735.8520569016184
12458,71,4,1777.49,1,Loyal Customers,2.316518046778858,1063.1230478751118
12459,605,1,454.36,0,Lost / Inactive,0.3470257088939829,0.0
12460,456,1,326.65,0,Lost / Inactive,0.0,0.0
12461,94,2,826.88,1,Loyal Customers,2.2293129129458933,509.99007189017664
12462,19,2,1189.59,1,Loyal Customers,1.4795268861267379,716.3105904299924
12463,53,4,1344.78,1,Loyal Customers,4.12623600398296,1349.5116822449868
12464,10,8,1212.05,1,Loyal Customers,6.335735943851511,1008.6846718235493
12465,17,2,742.19,1,Loyal Customers,2.3027476780101384,788.6319286177312
12466,682,1,56.73,0,Lost / Inactive,0.31182126620486444,0.0
12467,423,1,132.8,0,Lost / Inactive,0.0,0.0
12468,188,5,3670.74,1,Loyal Customers,2.1453839154706698,1678.4170381217987
12469,523,2,3070.54,0,Lost / Inactive,0.29624566231110366,371.6269760996487
12470,690,1,211.95,0,Lost / Inactive,0.30897290994724147,0.0
12471,2,79,39963.79,2,Champions,21.64742942752948,16594.805161680037
12472,32,19,17880.59,1,Loyal Customers,8.505703842433245,7329.136711902993
12473,29,5,3938.55,1,Loyal Customers,4.960982489055465,5317.306468766794
12474,17,31,12424.45,1,Loyal Customers,14.150289010353685,5773.99328936873
12475,54,2,1149.64,1,Loyal Customers,1.141981319412449,932.2302954770782
12476,16,23,14115.41,1,Loyal Customers,11.223638913422528,7956.135283509464
12477,23,9,20276.37,1,Loyal Customers,4.513213477572561,9746.181787454141
12478,4,1,680.99,1,Loyal Customers,0.0,0.0
12479,11,1,527.2,1,Loyal Customers,0.0,0.0
12480,28,7,5464.85,1,Loyal Customers,4.1517817128259855,3309.3975575889276
12481,23,15,12361.39,1,Loyal Customers,6.771565877868345,4979.1433110654
12482,576,29,23691.4,1,Loyal Customers,0.0263818588388158,87.32996891446115
12483,17,19,5120.58,1,Loyal Customers,8.580048042471994,2275.8347410439987
12484,33,12,6370.15,1,Loyal Customers,5.614518376930131,2787.982120493195
12485,529,1,708.1,0,Lost / Inactive,0.0,0.0
12486,432,1,1037.28,0,Lost / Inactive,0.0,0.0
12487,731,1,285.3,0,Lost / Inactive,0.2932845029362137,0.0
12488,10,3,1298.66,1,Loyal Customers,6.477492079691746,2462.451575531175
12489,336,1,334.93,0,Lost / Inactive,0.0,0.0
12490,5,21,9823.64,1,Loyal Customers,9.29523366142249,4001.7888182194006
12491,39,1,460.4,1,Loyal Customers,0.0,0.0
12492,63,3,715.21,1,Loyal Customers,1.9535299384897062,264.5109030665225
12493,166,2,433.74,1,Loyal Customers,1.5852111993780458,364.81990260730146
12494,16,9,1872.87,1,Loyal Customers,4.8445709316070795,877.6234309078498
12495,641,1,357.4,0,Lost / Inactive,0.33008305515744135,0.0
12496,620,2,54.09,0,Lost / Inactive,0.3395554185197589,0.0
12497,82,3,6248.5,1,Loyal Customers,1.2980764338628814,3318.90531637674
12498,21,3,403.7000000000001,1,Loyal Customers,4.295055651143371,772.6785180551685
12499,560,1,393.72,0,Lost / Inactive,0.0,0.0
